Category: Boxes
Items: 55

Category | Name | Size
Boxes | 12x12 pull box | 12x12
Boxes | 16x16 pull box | 16x16
Boxes | 24x24 pull box | 24x24
Boxes | 4-gang box | -
Boxes | 4x4 pull box | 4x4
Boxes | 5-gang box | -
Boxes | 6x6 pull box | 6x6
Boxes | 8x8 pull box | 8x8
Boxes | Box relocation kit | -
Boxes | Cable support bushing | -
Boxes | Ceiling fan brace box | -
Boxes | Double-gang box | -
Boxes | Double-gang metal box | -
Boxes | Double-gang old-work box | -
Boxes | Drywall repair ring | -
Boxes | Fan-rated ceiling box | -
Boxes | 1/2" FD cast box | 1/2"
Boxes | 3/4" FD cast box | 3/4"
Boxes | 1" FD cast box | 1"
Boxes | Floor box | -
Boxes | 1/2" FS cast box | 1/2"
Boxes | 3/4" FS cast box | 3/4"
Boxes | 1" FS cast box | 1"
Boxes | Handy box | -
Boxes | Low-voltage mud ring | -
Boxes | Masonry box, double-gang | -
Boxes | Masonry box, single-gang | -
Boxes | 1-1/2" nail plate | 1-1/2"
Boxes | 3" nail plate | 3"
Boxes | 5" nail plate | 5"
Boxes | Octagon box, metal | -
Boxes | Octagon box, plastic | -
Boxes | Old-work ceiling box | -
Boxes | Panel knockout seal | -
Boxes | Retrofit bar hanger | -
Boxes | Shallow round box | -
Boxes | Single-gang box | -
Boxes | Single-gang box extender | -
Boxes | Single-gang metal box | -
Boxes | Single-gang old-work box | -
Boxes | 4" square blank cover | 4"
Boxes | 4-11/16" square blank cover | 4-11/16"
Boxes | 4" square box | 4"
Boxes | 4-11/16" square box | 4-11/16"
Boxes | 4" square extension ring | 4"
Boxes | 4" square mud ring | 4"
Boxes | 4-11/16" square mud ring | 4-11/16"
Boxes | Steel stud grommet | -
Boxes | Triple-gang box | -
Boxes | Triple-gang metal box | -
Boxes | Triple-gang old-work box | -
Boxes | Wall plate extender | -
Boxes | Weatherproof box, double-gang | -
Boxes | Weatherproof box, single-gang | -
Boxes | Weatherproof box, triple-gang | -
