Category: Lighting Hardware
Items: 200

Category | Name | Size
Lighting Hardware | 1x4 LED troffer | 1x4
Lighting Hardware | 2x2 LED troffer | 2x2
Lighting Hardware | 2x4 LED troffer | 2x4
Lighting Hardware | 3" adjustable trim | 3"
Lighting Hardware | 4" adjustable trim | 4"
Lighting Hardware | 5" adjustable trim | 5"
Lighting Hardware | 6" adjustable trim | 6"
Lighting Hardware | 3" baffle trim | 3"
Lighting Hardware | 4" baffle trim | 4"
Lighting Hardware | 5" baffle trim | 5"
Lighting Hardware | 6" baffle trim | 6"
Lighting Hardware | Bollard light | -
Lighting Hardware | 2" canless LED downlight | 2"
Lighting Hardware | 3" canless LED downlight | 3"
Lighting Hardware | 4" canless LED downlight | 4"
Lighting Hardware | 5" canless LED downlight | 5"
Lighting Hardware | 6" canless LED downlight | 6"
Lighting Hardware | 8" canless LED downlight | 8"
Lighting Hardware | Ceiling fan | -
Lighting Hardware | Chandelier | -
Lighting Hardware | Daylight sensor | -
Lighting Hardware | Direct burial splice kit | -
Lighting Hardware | Drum ceiling fixture | -
Lighting Hardware | Emergency battery backup pack | -
Lighting Hardware | Emergency light | -
Lighting Hardware | Exit sign | -
Lighting Hardware | Exit sign, double face | -
Lighting Hardware | Exit sign, remote head | -
Lighting Hardware | 3" eyeball trim | 3"
Lighting Hardware | 4" eyeball trim | 4"
Lighting Hardware | 5" eyeball trim | 5"
Lighting Hardware | 6" eyeball trim | 6"
Lighting Hardware | Fixture mounting bracket | -
Lighting Hardware | Fixture whip, 4 ft | 4 ft
Lighting Hardware | Fixture whip, 8 ft | 8 ft
Lighting Hardware | Flood light | -
Lighting Hardware | Flood light, adjustable knuckle | -
Lighting Hardware | Flush mount ceiling fixture | -
Lighting Hardware | 3" gimbal trim | 3"
Lighting Hardware | 4" gimbal trim | 4"
Lighting Hardware | 5" gimbal trim | 5"
Lighting Hardware | 6" gimbal trim | 6"
Lighting Hardware | High bay | -
Lighting Hardware | In-grade uplight | -
Lighting Hardware | In-ground junction box | -
Lighting Hardware | Landscape hub connector | -
Lighting Hardware | Landscape light stake | -
Lighting Hardware | LED A19 bulb, 60W equivalent | -
Lighting Hardware | LED A21 bulb, 100W equivalent | -
Lighting Hardware | LED area light | -
Lighting Hardware | LED BR30 flood bulb | -
Lighting Hardware | LED BR40 flood bulb | -
Lighting Hardware | LED candelabra bulb, E12 | -
Lighting Hardware | LED canopy light | -
Lighting Hardware | LED corn bulb, E26 | -
Lighting Hardware | LED corn bulb, E39 | -
Lighting Hardware | LED cylinder downlight | -
Lighting Hardware | 4" LED disc light | 4"
Lighting Hardware | 5" LED disc light | 5"
Lighting Hardware | 6" LED disc light | 6"
Lighting Hardware | 7" LED disc light | 7"
Lighting Hardware | 4" LED disc light, CCT selectable | 4"
Lighting Hardware | 5" LED disc light, CCT selectable | 5"
Lighting Hardware | 6" LED disc light, CCT selectable | 6"
Lighting Hardware | 7" LED disc light, CCT selectable | 7"
Lighting Hardware | LED G25 globe bulb | -
Lighting Hardware | LED linear high bay | -
Lighting Hardware | LED mirror light | -
