#14 bare CU, solid	$0.18/FT
#12 bare CU, solid	$0.31/FT
#10 bare CU, solid	$0.44/FT
#8 bare CU, solid	$0.57/FT
#10 bare CU, stranded	$0.70/FT
#8 bare CU, stranded	$0.83/FT
#6 bare CU, stranded	$0.96/FT
#4 bare CU, stranded	$1.09/FT
#2 bare CU, stranded	$1.22/FT
#1/0 bare CU, stranded	$1.35/FT
#2/0 bare CU, stranded	$1.48/FT
1-5/8" x 1-5/8" strut channel, 10 ft	$4.19
1-5/8" x 13/16" strut channel, 10 ft	$4.48
1-5/8" x 1-1/4" strut channel, 10 ft	$4.77
1-5/8" x 3-1/4" strut channel, 10 ft	$5.06
1-1/4" x 1-1/4" strut channel, 10 ft	$5.35
1/4" all-thread rod, 10 ft	$5.64
3/8" all-thread rod, 10 ft	$5.93
1/2" all-thread rod, 10 ft	$6.22
5/8" all-thread rod, 10 ft	$6.51
Octagon box, plastic	$6.80
Octagon box, metal	$7.09
Weatherproof box, single-gang	$7.38
Weatherproof box, double-gang	$7.67
Ground rod, 8 ft	$7.96
Wire nuts, small	$8.25
Wire nuts, large	$8.54
Lever wire connector, 2-port	$8.83
Lever wire connector, 3-port	$9.12
Lever wire connector, 5-port	$9.41
Panel filler plate	$5,110.10
100A main panel	$5,247.17
125A main panel	$5,384.24
150A main panel	$5,521.31
200A main panel	$5,658.38
400A main panel	$5,795.45
100A main-lug sub-panel	$5,932.52
125A main-lug sub-panel	$6,069.59
150A main-lug sub-panel	$6,206.66
200A main-lug sub-panel	$6,343.73
400A main-lug sub-panel	$6,480.80
100A meter base	$6,617.87
200A meter base	$6,754.94
400A meter base	$6,891.01
30A fused disconnect	$13.76
30A non-fused disconnect	$14.05
60A fused disconnect	$14.34
60A non-fused disconnect	$14.63
100A fused disconnect	$14.92
100A non-fused disconnect	$15.21
200A fused disconnect	$15.50
200A non-fused disconnect	$15.79
50A spa disconnect	$16.08
60A spa disconnect	$16.37
Fire alarm control panel	$8,398.78
Cat6 patch panel	$8,535.85
150W landscape transformer	$8,672.92
300W landscape transformer	$8,809.99
600W landscape transformer	$8,946.06
Generator interlock kit	$9,083.13
