Description,Price
#14 bare CU, solid,$0.18/FT
#12 bare CU, solid,$0.31/FT
#10 bare CU, solid,$0.44/FT
#8 bare CU, solid,$0.57/FT
#10 bare CU, stranded,$0.70/FT
#8 bare CU, stranded,$0.83/FT
#6 bare CU, stranded,$0.96/FT
#4 bare CU, stranded,$1.09/FT
#2 bare CU, stranded,$1.22/FT
#1/0 bare CU, stranded,$1.35/FT
#2/0 bare CU, stranded,$1.48/FT
1-5/8" x 1-5/8" strut channel, 10 ft,$4.19
1-5/8" x 13/16" strut channel, 10 ft,$4.48
1-5/8" x 1-1/4" strut channel, 10 ft,$4.77
1-5/8" x 3-1/4" strut channel, 10 ft,$5.06
1-1/4" x 1-1/4" strut channel, 10 ft,$5.35
1/4" all-thread rod, 10 ft,$5.64
3/8" all-thread rod, 10 ft,$5.93
1/2" all-thread rod, 10 ft,$6.22
5/8" all-thread rod, 10 ft,$6.51
Octagon box, plastic,$6.80
Octagon box, metal,$7.09
Weatherproof box, single-gang,$7.38
Weatherproof box, double-gang,$7.67
Ground rod, 8 ft,$7.96
Wire nuts, small,$8.25
Wire nuts, large,$8.54
Lever wire connector, 2-port,$8.83
Lever wire connector, 3-port,$9.12
Lever wire connector, 5-port,$9.41
Panel filler plate,$5,110.10
100A main panel,$5,247.17
125A main panel,$5,384.24
150A main panel,$5,521.31
200A main panel,$5,658.38
400A main panel,$5,795.45
100A main-lug sub-panel,$5,932.52
125A main-lug sub-panel,$6,069.59
150A main-lug sub-panel,$6,206.66
200A main-lug sub-panel,$6,343.73
400A main-lug sub-panel,$6,480.80
100A meter base,$6,617.87
200A meter base,$6,754.94
400A meter base,$6,891.01
30A fused disconnect,$13.76
30A non-fused disconnect,$14.05
60A fused disconnect,$14.34
60A non-fused disconnect,$14.63
100A fused disconnect,$14.92
100A non-fused disconnect,$15.21
200A fused disconnect,$15.50
200A non-fused disconnect,$15.79
50A spa disconnect,$16.08
60A spa disconnect,$16.37
Fire alarm control panel,$8,398.78
Cat6 patch panel,$8,535.85
150W landscape transformer,$8,672.92
300W landscape transformer,$8,809.99
600W landscape transformer,$8,946.06
Generator interlock kit,$9,083.13
Doorbell transformer,$9,220.20
Dry-type transformer,$9,357.27
400A fused disconnect,$18.98
600A fused disconnect,$19.27
1/2" EMT,$19.56
3/4" EMT,$19.85
1" EMT,$20.14
1-1/4" EMT,$20.43
1-1/2" EMT,$20.72
2" EMT,$21.01
2-1/2" EMT,$21.30
3" EMT,$21.59
4" EMT,$21.88
1/2" EMT connector,$22.17
1/2" EMT coupling,$22.46
1/2" EMT 90-degree elbow,$22.75
1/2" EMT LB conduit body,$23.04
3/4" EMT connector,$23.33
3/4" EMT coupling,$23.62
3/4" EMT 90-degree elbow,$23.91
3/4" EMT LB conduit body,$24.20
1" EMT connector,$24.49
1" EMT coupling,$24.78
1" EMT 90-degree elbow,$25.07
1" EMT LB conduit body,$25.36
1-1/4" EMT connector,$25.65
1-1/4" EMT coupling,$25.94
1-1/4" EMT 90-degree elbow,$26.23
1-1/4" EMT LB conduit body,$26.52
#14 THHN,$3.75/FT
#12 THHN,$3.88/FT
#10 THHN,$4.01/FT
#10 THHN stranded,$4.14/FT
#8 THHN,$0.27/FT
#6 THHN,$0.40/FT
#4 THHN,$0.53/FT
#3 THHN,$0.66/FT
#2 THHN,$0.79/FT
#1 THHN,$0.92/FT
#1/0 THHN,$1.05/FT
#2/0 THHN,$1.18/FT
#3/0 THHN,$1.31/FT
#4/0 THHN,$1.44/FT
250 kcmil THHN,$1.57/FT
300 kcmil THHN,$1.70/FT
350 kcmil THHN,$1.83/FT
400 kcmil THHN,$1.96/FT
500 kcmil THHN,$2.09/FT
#8 XHHW AL,$2.22/FT
#6 XHHW AL,$2.35/FT
#4 XHHW AL,$2.48/FT
#2 XHHW AL,$2.61/FT
#1 XHHW AL,$2.74/FT
#1/0 XHHW AL,$2.87/FT
#2/0 XHHW AL,$3.00/FT
#3/0 XHHW AL,$3.13/FT
#4/0 XHHW AL,$3.26/FT
250 kcmil XHHW AL,$3.39/FT
300 kcmil XHHW AL,$3.52/FT
350 kcmil XHHW AL,$3.65/FT
400 kcmil XHHW AL,$3.78/FT
500 kcmil XHHW AL,$3.91/FT
14-2 NM-B,$4.04/FT
12-2 NM-B,$4.17/FT
10-2 NM-B,$0.30/FT
14-3 NM-B,$0.43/FT
12-3 NM-B,$0.56/FT
10-3 NM-B,$0.69/FT
8-2 NM-B,$0.82/FT
8-3 NM-B,$0.95/FT
6-3 NM-B,$1.08/FT
14-2 MC cable,$1.21/FT
14-3 MC cable,$1.34/FT
12-2 MC cable,$1.47/FT
12-3 MC cable,$1.60/FT
10-2 MC cable,$1.73/FT
10-3 MC cable,$1.86/FT
10-4 MC cable,$1.99/FT
8-2 MC cable,$2.12/FT
8-3 MC cable,$2.25/FT
8-4 MC cable,$2.38/FT
6-2 MC cable,$2.51/FT
6-3 MC cable,$2.64/FT
6-4 MC cable,$2.77/FT
4-2 MC cable,$2.90/FT
4-3 MC cable,$3.03/FT
3-3 MC cable,$3.16/FT
3-4 MC cable,$3.29/FT
2-2 MC cable,$3.42/FT
2-3 MC cable,$3.55/FT
12-2 UF-B,$44.50
10-2 UF-B,$44.79
8-2 UF-B,$45.08
#16 fixture wire,$45.37
#18 fixture wire,$45.66
8-3 SER CU,$0.33/FT
6-3 SER CU,$0.46/FT
4-3 SER CU,$0.59/FT
2-3 SER CU,$0.72/FT
1-3 SER CU,$0.85/FT
1/0-3 SER AL,$47.40
2/0-3 SER AL,$47.69
3/0-3 SER AL,$47.98
4/0-3 SER AL,$48.27
4/0-4/0-2/0 SER AL,$48.56
4/0-4/0-4/0-2/0 SER AL,$48.85
250-250-250 SER AL,$49.14
EMT strap,$49.43
Strut channel nut,$49.72
Strut angle bracket,$50.01
Strut post base,$50.30
Strut end cap,$50.59
Single-gang box,$50.88
Single-gang metal box,$51.17
Double-gang box,$51.46
Double-gang metal box,$51.75
Triple-gang box,$52.04
Triple-gang metal box,$52.33
Fan-rated ceiling box,$52.62
Handy box,$52.91
Floor box,$53.20
4x4 pull box,$53.49
6x6 pull box,$53.78
8x8 pull box,$54.07
12x12 pull box,$54.36
Duplex receptacle,$54.65
20A duplex receptacle,$54.94
GFCI receptacle,$55.23
AFCI receptacle,$55.52
Twist-lock receptacle,$55.81
50A range receptacle,$56.10
30A dryer receptacle,$56.39
USB combo receptacle,$56.68
Switch/receptacle combo device,$56.97
Single-pole switch,$57.26
3-way switch,$57.55
4-way switch,$57.84
Dimmer,$58.13
Smart switch,$58.42
